movieId,tag
1,"Owned,imdb top 250,Pixar,Pixar,time travel,children,comedy,funny,witty,rated-G,animation,Pixar,computer animation,good cartoon chindren,pixar,friendship,bright,DARING RESCUES,fanciful,HEROIC MISSION,humorous,light,rousing,TOYS COME TO LIFE,UNLIKELY FRIENDSHIPS,warm,witty,animation,Disney,friendship,pixar,boy,boy next door,bullying,friends,friendship,jealousy,martial arts,mission,neighborhood,new toy,pixar,rescue,resourcefulness,rivalry,toy,toy comes to life,walkie talkie,clever,animation,clever,friendship,funny,Tom Hanks,witty,pixar,Pixar,toys,animation,fun,children,pixar,Tom Hanks,dolls,National Film Registry,adventure,animated,animation,cgi,comedy,Disney,family,fantasy,friendship,imdb top 250,Pixar,Tom Hanks,witty,classic,pixar,witty,Pixar,funny,animated,comedy,Disney,fun,funny,pixar,animated,animation,children,comedy,fantasy,funny,humorous,Pixar,time travel,Pixar,Pixar,Tom Hanks,animation,fun,animation,cgi,family,animation,Pixar,Watched,Pixar,witty,animation,animation,classic,clever,comedy,computer animation,Disney,friendship,funny,pixar,witty,action figure,action figures,Buzz Lightyear,CG animation,toy,toys,Woody,Disney,animation,Disney,Pixar,animation,family,Tom Hanks,Pixar,Disney,friendship,nostalgic,computer animation,Disney,fantasy,Pixar,toys,witty,Tim Allen,time travel,children,Disney,pixar,childish,animation,Disney,friendship,imdb top 250,Pixar,witty,animation,Pixar,animation,friendship,toys,pixar,buddy movie,Tom Hanks,witty,animation,children,toys,animation,comedy,funny,imdb top 250,Pixar,adventure,children,family,funny,3D,adventure,children,classic,computer animation,Disney,funny,Pixar,Tim Allen,Tom Hanks,computer animation,ya boy,clever,pixar,animation,Pixar,adventure,buddy movie,computer animation,friendship,Tom Hanks,adventure,animation,computer animation,funny,witty,animation,Pixar,animated,cgi,comedy,cute,funny,story,voice acting,witty,Pixar,funny,Pixar,CGI,classic,disney,pixar,toys played,adventure,animation,buddy movie,clever,comedy,cowboy,dinosaur,dolls,friendship,funny,pixar,Tim Allen,Tom Hanks,toys,UNLIKELY FRIENDSHIPS,witty,animation,imdb top 250,pixar,computer animation,funny,humorous,Pixar,Tom Hanks,witty,animation,humorous,Pixar,time travel,animation,clever,comedy,funny,humorous,Pixar,witty,animation,Disney,pixar,computer animation,Pixar,animated,animation,buddy movie,computer animation,funny,Pixar,Tom Hanks,adventure,computer animation,Pixar,Pixar,animation,Pixar,friendship,pixar,toys,animated,fun family movie,pixar,clever,witty,Best of Rotten Tomatoes: All Time,John Lasseter,the boys,pixar,soothing,animated,buddy movie,Cartoon,cgi,comedy,computer animation,family,friendship,kids,toy,toys,computer animation,Disney animated feature,Pixar animation,TÃ©a Leoni does not star in this movie,Disney,Pixar,Pixar,Pixar animation,exciting plot,funny lines,touching story,children,computer animation,family,humorous,time travel,Tom Hanks,witty,2009 reissue in Stereoscopic 3-D,55 movies every kid should see--Entertainment Weekly,BD-Video,CLV,DVD-Video,Cartoon,Disney,CGI classic,animation,Disney,family,funny,rainy day watchlist,villian hurts toys,Disney,Pixar,animation,Pixar,animation,disney,Pixar,family,3D,children,animation,comedy,Disney,Pixar,Pixar,animated,animation,buddy movie,children,clever,time travel,witty,animation,Cartoon,children,computer animation,kids,pixar,Tom Hanks,animation,classic,comedy,computer animation,Disney,funny,humorous,Pixar,time travel,Tom Hanks,witty,animation,children,computer animation,kids,pixar,itaege,humorous,pixar,family film,friendship,toys,computer animation,funny,Pixar,children,computer animation,family,funny,Pixar,Tom Hanks,toys,funny,Pixar,witty,animation,pixar,children,Pixar,Tom Hanks,Tim Allen,Tom Hanks,Pixar,animation,children,computer animation,Disney,imdb top 250,John Lasseter,Pixar,Tom Hanks,animation,cgi,comedy,computer animation,imdb top 250,pixar,3D,animated,children,comedy,computer animation,Disney,family,humorous,Pixar,time travel,Tom Hanks,animation,Pixar,animation,Disney,Pixar,toys,animation,children,Disney,Pixar,animmation,friendship,funny,toy,Disney,Pixar,Tim Allen,Tom Hanks,cgi,children,toys,animation,pixar,Tim Allen,Tom Hanks,animation,children,comedy,classic,Tom Hanks,animation,pixar,children,adventure,animation,Disney,funny,pixar,classic,Disney,friendship,pixar,animation,Disney,funny,pixar,time travel,fantasy,pixar,animation,children,Disney,adventure,animated,animation,classic,Disney,fantasy,Pixar,Tom Hanks,toys,Pixar,children,computer animation,Disney,family,Pixar,avi,buy,Pixar,witty,Cartoon,animation,comedy,funny,Pixar,kids,light hearted,whimsica,great movie,kids and family,action,disney,kids,Pixar,witty,animation,kids movie,computer animation,Pixar,Pixar,Disney,favorite,Pixar,Tumey's To See Again,Tumey's VHS,adventure,animation,buddy movie,Disney,friendship,pixar,Tom Hanks,pixar,friendship,funny,pixar,Tom Hanks,pixar,tim allen,tom hanks,adventure,animated,animation,Cartoon,Disney,family,friendship,imdb top 250,pixar,toy,toys,toys,animation,pixar,animation,family,sci-fi,Animation,Cartoon,Pixar,adventure,animation,children,comedy,want to see again,innovative,animation,family,good time,Pixar,Pixar,family,friendship,pixar,unlikely friendships,animated,imdb top 250,Pixar,Tom Hanks,toys,Pixar,witty,classic,Disney,animation,animation,Pixar,Tom Hanks,Disney,funny,Pixar,time travel,toy,toys,Engaging,computer animation,Disney,humorous,Pixar,pixar,Tom Hanks,animation,children,clever,Disney,family,funny,humorous,imdb top 250,Pixar,Pixar animation,Tom Hanks,animation,Disney,Want,cgi,computer animation,Tom Hanks,é˜®ä¸€é¸£,fun,adventure,animated,animation,children,clever,computer animation,family,friendship,funny,humorous,toys,witty,animation,computer animation,pixar,toys,animation,Disney,Pixar,jealousy,pixar,first cgi film,joss whedon,animation,Tom Hanks,very good,pixar,animation,animated,animation,children,classic,clever,comedy,computer animation,Disney,friendship,funny,humorous,pixar,toys,witty,imdb top 250,witty,animation,cartoon,friendship,pixar,unny,animated,animation,comedy,Disney,Pixar,adventure,animation,comedy,family,fantasy,John Lasseter,USA,classic,pixar,lots of heart,children,Disney,animation,cgi,Disney,family,toys,American Animation,computer animation,pixar,Pixar,animation"
2,"Robin Williams,time travel,fantasy,based on children's book,board game,disappearance,giant insect,new home,recluse,bad cgi,kid flick,scary,time travel,animals,bad cgi,board game,not for kids,Robin Williams,time travel,fantasy,magic board game,Robin Williams,kid flick,adventure,animals,board game,family,fantasy,fiction,Robin Williams,time travel,fantasy,Robin Williams,adapted from:book,childish,Children,kid flick,time travel,animals,bad cgi,based on a book,board game,Chris Van Allsburg,animals,fantasy,Robin Williams,scary,Robin Williams,fantasy,fantasy,Kirsten Dunst,Robin Williams,jungle,board game,time travel,animals,based on a book,fantasy,magic board game,monkey,not for kids,Robin Williams,scary,time travel,kid flick,bad cgi,Robin Williams,adventure,Robin Williams,time travel,board game,family,fantasy,fiction,Robin Williams,scary,time travel,family,kid flick,Robin Williams,time travel,animals,childhood recaptured,herds of CGI animals,Kirsten Dunst,Robin Williams,fantasy,Joe Johnston,adapted from:book,board game,childhood recaptured,game,herds of CGI animals,scary,see also:Zathura,time,time travel,Filmed in BC,Lebbat,CLV,rainy day watchlist,bad cgi,kid flick,Robin Williams,itaege,animals,bad cgi,board game,fantasy,Robin Williams,time travel,animals,fantasy,magic board game,Robin Williams,time travel,Robin Williams,Children,Fantasy,Robin Williams,Adaptation of Book,Robin Williams,time travel,Children,kid flick,fantasy,Robin Williams,fantasy,Robin Williams,time travel,Dynamic CGI Action,Robin Williams,animals,adventure,family,Robin Williams,scary,animals,board game,fantasy,Robin Williams,Joe Johnston,Robin Williams,board game,fantasy,Robin Williams,scary,time travel,adventure,family,fantasy,kids,magic board game,Robin Williams,Robin Williams,Robin Williams,bad cgi,horrifying (but not Horror genre),Kirsten Dunst,magic board game,monkey,not for kids,bad cgi,kid flick,Robin Williams,fantasy,Robin Williams,scary,time travel,animals,board game,children,fantasy,Kirsten Dunst,Robin Williams,time travel,For children,animals,board game,Robin Williams"
3,"funny,best friend,duringcreditsstinger,fishing,old man,sequel fever,moldy,old,sequel,NO_FA_GANES,Jack Lemmon,Walter Matthau,grun running,comedinha de velhinhos engraÃƒÂ§ada,old people that is actually funny,Howard Deutch,CLV,sequel,comedinha de velhinhos engraÃ§ada,moldy,old,Ann Margaret,Burgess Meredith,Daryl Hannah,fishing,good soundtrack,Jack Lemmon,Sophia Loren,Walter Matthau"
4,"based on novel or book,chick flick,divorce,interracial relationship,single mother,CLV,chick flick,revenge,characters,characters,chick flick"
5,"aging,baby,confidence,contraception,daughter,gynecologist,midlife crisis,parent child relationship,pregnancy,sequel fever,Fantasy,steve martin,Comedy,Touching,CLV,steve martin,family,pregnancy,wedding,Diane Keaton,family,sequel,Steve Martin,wedding"
6,"imdb top 250,great acting,realistic action,suspense,Al Pacino,atmospheric,bank robbery,crime,great acting,realistic action,Robert De Niro,suspense,tense,Val Kilmer,bank job,bank robbery,crime,dialogue,heist,heist movie,long,Al Pacino,atmospheric,realistic action,Robert De Niro,bank robbery,Los Angeles,realistic action,Al Pacino,atmospheric,Michael Mann,realistic action,Robert De Niro,visceral,atmospheric,bleak,slick,somber,tense,visceral,witty,bank job,betrayal,cat and mouse,chase,crime epic,criminal mastermind,cult film,detective,ex-con,gang,heist,heist movie,honor,loner,los angeles,murder,neo-noir,obsession,one last job,robbery,suspense,thief,atmospheric,realistic action,Al Pacino,imdb top 250,Robert De Niro,crime,suspense,Recommendz Top Pick,Al Pacino,bank robbery,great acting,gunfight,long,realistic action,Robert De Niro,suspense,tense,1,Al Pacino,crime,great acting,realistic action,suspense,tense,imdb top 250,Al Pacino,great acting,Robert De Niro,suspense,Val Kilmer,Al Pacino,dialogue,gunfight,overrated,philosophy,Al Pacino,bank robbery,crime,great acting,Natalie Portman,realistic action,Robert De Niro,soundtrack,suspense,tense,Val Kilmer,al pacino,electronic soundtrack,robert de niro,slow paced,blu-ray,mine,Al Pacino,atmospheric,crime,great acting,realistic,realistic action,Robert De Niro,suspense,tense,cliched,dumbed down,hollywoodization,lame,crime,suspense,7.5-FilmAffinity,es un poc de lo de sempre,Al Pacino,long,Natalie Portman,overrated,Robert De Niro,too long,overrated,atmospheric,bank robbery,crime,dialogue,great acting,philosophy,tense,long,tense,realistic action,Al Pacino,philosophy,long,overrated,too long,realistic action,Al Pacino,Ashley Judd,Bechdel Test:Fail,bleak,dialogue,ensemble cast,gunfight,long,overrated,police,relationships,Robert De Niro,too long,Al Pacino,great acting,realistic action,Al Pacino,crime,gunfight,Michael Mann,realistic action,Robert De Niro,suspense,tense,Al Pacino,great acting,Robert De Niro,Al Pacino,atmospheric,crime,great acting,long,Michael Mann,realistic,realistic action,Robert De Niro,suspense,tense,Al Pacino,atmospheric,crime,dialogue,great acting,gunfight,realistic action,Robert De Niro,suspense,tense,Al Pacino,atmospheric,Robert De Niro,suspense,tense,individualism,realistic,Michael Mann,bank robbery,crime,heists,relationships,too long,atmospheric,bank robbery,complex characters,crime,dialogue,great acting,gunfight,heist movie,realistic,realistic action,suspense,tense,visceral,setting:LA,who cares DVDs,bleak,dialogue,long,overrated,too long,imdb top 250,Natalie Portman,Val Kilmer,CLV,Action,Al Pacino,Crime,Heist,Jon Voight,Los Angeles,Michael Mann,Natalie Portman,Realistic,Robert De Niro,Third Act Problems,Val Kilmer,Al Pacino,atmospheric,Robert De Niro,realistic action,Al Pacino Vs Robert De Niro,authentic gunfights,great acting,realistic action,suspense,Al Pacino,great acting,realistic action,Robert De Niro,Val Kilmer,In The Nucleus,btaege,atmospheric,philosophy,slow paced,tense,Al Pacino,atmospheric,bank robbery,crime,dialogue,great acting,gunfight,HD MKV,imdb top 250,long,Los Angeles,Michael Mann,Natalie Portman,philosophy,police,realistic,realistic action,Robert De Niro,suspense,tense,Val Kilmer,Can't remember,Al Pacino,bank robbery,realistic action,Al Pacino,Robert De Niro,seen 2011,atmospheric,complex characters,synthesizer soundtrack,understated,long,overrated,Top 10 ever,netflix queue,Al Pacino,Natalie Portman,Robert De Niro,suspense,adultery,Al Pacino,atmospheric,bank robbery,career criminal,crime,great acting,gunfight,guns,Los Angeles,Michael Mann,Natalie Portman,police,professionals,real life,realistic,realistic action,relationships,Robert De Niro,suicide,suspense,Val Kilmer,violent,visceral,need to own,Al Pacino,Michael Mann,Natalie Portman,Robert De Niro,Val Kilmer,Al Pacino,atmospheric,complex characters,dialogue,great acting,long,Los Angeles,Michael Mann,philosophy,realistic action,Robert De Niro,Val Kilmer,Al Pacino,crime,great acting,Natalie Portman,Robert De Niro,suspense,atmospheric,dialogue,atmospheric,bank robbery,gunfight,realistic action,tense,Al Pacino,Mary Kircher,Natalie Portman,Robert De Niro,Val Kilmer,Viviane Vives,overrated,Al Pacino,overrated,Robert De Niro,Al Pacino,crime,Robert De Niro,Al Pacino,dialogue,great acting,long,realistic action,Robert De Niro,Al Pacino,Natalie Portman,Al Pacino,bank robbery,dialogue,Robert De Niro,suspense,overrated,Al Pacino,authentic gunfights,great acting,gunfight,Val Kilmer,Bibliothek,Al Pacino,atmospheric,bank robbery,career criminal,crime,dialogue,great acting,gunfight,Natalie Portman,realistic,realistic action,Robert De Niro,suspense,tense,visceral,Tumey's DVDs,vontatott,heist,Al Pacino,atmospheric,complex characters,crime,great acting,realistic action,Robert De Niro,suspense,tense,long,Al Pacino,amazing cast,Ashley Judd,bank robbery,career criminal,dialogue,great acting,Michael Mann,Natalie Portman,realistic action,Robert De Niro,Val Kilmer,great acting,suspense,tense,Captivating,philosophy,realistic,realistic action,dialogue,gunfight,realistic action,Bank Heist,Want,Al Pacino,Robert De Niro,action,Al Pacino,Robert De Niro,suspense,Al Pacino,Robert De Niro,Al Pacino,bank robbery,great acting,gunfight,philosophy,realistic action,Robert De Niro,suspense,tense,realistic,Al Pacino,authenticity,great acting,Robert De Niro,visceral,Al Pacino,atmospheric,complex characters,crime,dialogue,Los Angeles,Michael Mann,realistic action,Robert De Niro,suspense,tense,atmospheric,bank robbery,dialogue,gunfight,heist,long,Al and Robert,too long,atmospheric,realistic,suspense,adultery,Al Pacino,amazing cast,Ashley Judd,atmospheric,Bank Heist,bank job,bank robbery,betrayal,Captivating,career criminal,cat and mouse,chase,complex characters,crime,crime epic,criminal mastermind,detective,dialogue,electronic soundtrack,ensemble cast,ex-con,gang,great acting,gunfight,heist,heist movie,heists,Jon Voight,loner,long,Los Angeles,male-female relationship,Mary Kircher,Michael Mann,murder,Natalie Portman,neo-noir,obsession,ONE LAST HEIST,one last job,police,professionals,realistic,realistic action,relationships,robbery,Robert De Niro,somber,suicide,suspense,synthesizer soundtrack,teenage girl,tense,thief,thieves,tragic end,Val Kilmer,violent,visceral,Viviane Vives,Al Pacino,atmospheric,crime,great acting,Robert De Niro,great acting,Michael Mann,atmospheric,bank robbery,crime,dialogue,great acting,Michael Mann,realistic action,suspense,Al Pacino,Michael Mann,Robert De Niro,long,adultery,Al Pacino,atmospheric,bank robbery,Bechdel Test:Fail,bleak,career criminal,dialogue,gunfight,guns,loner,long,Los Angeles,male-female relationship,Michael Mann,ONE LAST HEIST,overrated,philosophy,police,R,R:language,R:violence,realistic action,Recommendz Top Pick,Robert De Niro,Seen 2010,slick,somber,teenage girl,tense,thieves,tough guy,Val Kilmer,visceral,atmospheric,complex characters,crime,dialogue,great acting,police,realistic,realistic action,suspense,tense"
7,"remake,chauffeur,fusion,long island,millionaire,paris,sibling relationship,based on a play,Harrison Ford,Paris,romance,sibling relationship,based on a play,ugly duckling,relationships,great cast,Harrison Ford,romance,love story,romance,NO_FA_GANES,remake,Drama,finding yourself,great cast,Greg Kinnear,Julia Ormond,love story,remadeAs:Sabrina(1995),remakeOf:Sabrina(1954),upstairs-downstairs,as good maybe better than original,remake,CLV,Romance,as good maybe better than original,Harrison Ford,Greg Kinnear,romance,Harrison Ford,Greg Kinnear,remake,romance,chick flick,remake,Harrison Ford,breakout,Harrison Ford,remake,based on a play,comedy,love,love story,Paris,romance,sibling relationship,ugly duckling,based on a play,chick flick,Harrison Ford,Julia Ormond,Nancy Marchand,remake,chick flick,remake,based on a play,chick flick,finding yourself,Greg Kinnear,Harrison Ford,Paris,remake,ugly duckling"
8,"based on a book,Mark Twain,Peter Hewitt,adapted from:book,author:Mark Twain,Library System,Disney"
9,"explosive,hostage,terrorist,vice president,Jean-Claude Van Damme,Jean-Claude Van Damme,Peter Hyams,CLV,action,jean-claude van damme,Peter Hyams,Can't remember,Jean-Claude Van Damme"
10,"007,Bond,boys with toys,gadgets,secret service,sequel,spies,violence,computer virus,cossack,cuba,electromagnetic pulse,falsely accused,kgb,red army,satellite,secret base,secret identity,secret intelligence service,special car,st. petersburg russia,time bomb,007,James Bond,007,Bond,007,action,James Bond,Pierce Brosnan,pseudo rated,I wanted the bad guy to win.  Sean Bean out-Bonds Bond.,Best Of the Brosnon Bonds,tank chase scene,Caribbean,espionage,franchise,James Bond,Latin America,Puerto Rico,007,bond,espionage,james bond,Bond,Pierce Brosnan,Bond,007,Bond,Bond,action,espionage,espionage,good dialogue,bond,007,James Bond,Pierce Brosnan,James Bond,007,dark,espionage,funny,good dialogue,James Bond,Memorable Characters,memorable lines,one-liners,sexuality,Famke Janssen,funny,james bond,Pierce Brosnan,007 movies are bad.,bond,espionage,james bond,thriller,Bond,Pierce Brosnan,007 (series),assassin,killer as protagonist,murder,Sean Bean dies,BD-Video,CLV,espionage,James Bond,007,James Bond,Bond,btaege,007,james bond,bungee jump stunt,computer hacker,EMP,flash freeze death,satellite,stealth helicopter,tank chase scene,action,adventure,James Bond,007,Bond,espionage,gadgets,james bond,Pierce Brosnan,James Bond,Pierce Brosnan,action,classic,computer games,james bond,thriller,espionage,007,Bond,Tumey's DVDs,Bob*ola,MTSKAF,james bond,james bond,James Bond,Pierce Brosnan,James Bond,Pierce Brosnan,James Bond,James Bond,Pierce Brosnan,it's a good movie but the end of 007 is always the same,Pierce Brosnan,007,james bond"
